"Title","Date","Image","Detail"
"Decline in Revenue Leads To Decline in Net Profit for Nepal Hydro in Q3","Tue, Jun 15, 2021 10:04 AM
                                                                on
                                                                Latest,
                                                                Company Analysis,","https://contents.sharesansar.com/photos/shares/company/1526018180-nepal-hydro-developer-NHDL-ss.jpg","Nepal Hydro Developer Limited (NHDL) has reported a decline in net profit by 65.04% in the third quarter (Q3) of the current FY 2077/78. The profit decreased to Rs. 1.12 crores in this quarter from Rs. 3.22 crores in the corresponding quarter of the previous year.
NHDL has sold electricity worth Rs. 6.03 crores and collected revenue from other sources worth Rs. 3.44 lakhs by the end of Q3.
Its reserve fund stands at Rs. 1.95 crores with share capital at Rs 29.90 crores.
The company sits in a fair liquidity position of 1.59 times. The acceptable ratio is 1.5 times.
Its annualized earning per share stands at Rs. 5.02. The net worth per share at Rs 106.53 and the P/E ratio stood at 64.72 times.
Click here for the Q3 report
Major Highlights:




Particulars


Nepal Hydro Developer Limited




Q3, 2077/2078


Q3, 2076/2077


Difference




Paid-Up Capital


299,000.00


260,000.00


15.00%




Reserve & Surplus


19,515.00


52,929.00


-63.13%




Plant and Property


981.00


1,143.00


-14.17%




Intangible Assets


470,816.00


489,241.00


-3.77%




Borrowings


192,069.00


260,000.00


-26.13%




Revenue


60,375.00


86,976.00


-30.58%




Administrative Expenses


758.00


1,786.00


-57.56%




Financial Expenses


16,476.00


25,341.00


-34.98%




Net Profit


11,261.77


32,213.00


-65.04%




Earnings per share (Rs.)


5.02


16.52


-




Net worth per share (Rs.)


106.53


120.36


-11.49%




P/E Ratio (times)


64.72


-


-




Current Ratio (times)


1.59


-


-"
"IME Life Insurance convenes its 3rd AGM; to come up with IPO soon","Tue, Jun 15, 2021 5:07 AM
                                                                on
                                                                AGM/Special AGM,
                                                                Latest,",,"IME Life Insurance has virtually convened its 3rd AGM for the FY 2076-77 under the leadership of its chairman Dr. Ramhari Aryal on Jestha 31, 2078.

The AGM has endorsed the board’s proposal to float its public shares in IPO in the near future while has also endorsed the inclusion of new board members in the team apart from the endorsement of regular financial reports, as per the media statement."
"1,84,50,382.39 Shares of CZBIL Listed After Acquisition of TMDBL","Mon, Jun 14, 2021 5:33 PM
                                                                on
                                                                Latest,
                                                                Share Listed,","https://contents.sharesansar.com/photos/shares/company/1523528266-citizens-citizen-bank-CZBIL-ss.jpg","1,84,50,382.39 shares of former Tinau Mission Development Bank (TMDBL) are now listed as shares of Citizens Bank International Limited (CZBIL).
After a successful acquisition of Tinau Mission Development Bank (TMDBL), Citizens Bank International Limited (CZBIL) has commenced the joint operation in the name of Citizens Bank International Limited from 14th Chaitra, 2077.
The swap ratio was 100: 96 i.e. every 100 units of TMDBL are equated with 96 units of CZBIL.
NRB gave the final nod on Chaitra 09. CZBIL then organized its 358th board meeting on the same day to decide on the commencement date of the joint transaction."
"NEPSE Breaks Record Created Just Yesterday and Creates New All-Time High at 3,025.83; Index Closes Above 3,000 For the First Time in History","Mon, Jun 14, 2021 4:45 PM
                                                                on
                                                                Stock Market,
                                                                Latest,",,"The NEPSE index gained a significant 42.72 points today and closed at 3,025.83. The index opened at 3,016.6 and immediately made the intraday high at 3,051.02. It then ultimately closed at 3,025.83, which is the highest index-closing in the history of the NEPSE index.
35,027,363 shares traded hands via 175,411 transactions. The trading of 221 scrips brought the total market turnover to a little over Rs. 18.88 Arba. NEPSE had created the highest intraday turnover in the history of Nepal's capital market of Rs. 19.55 Arba yesterday.

Arun Valley Hydropower Development Company Limited (AHPC) has the highest individual scrip turnover of a little over Rs. 62.59 crores.
11 companies have technically closed at the upper limit of 10% intraday gain today.
On the other side of things, Mountain Hydro Nepal Limited (MHNL) lost the most 5.01%."
"Banks Raise Interest Rates for Ashad","Mon, Jun 14, 2021 1:45 PM
                                                                on
                                                                Stock Market,
                                                                Interest Rates,
                                                                Latest,","https://contents.sharesansar.com/photos/Featured-Images/interest-rate-ss.jpg","Commercial Banks have updated the interest rates profile for the month of Ashad. The update will be effective from tomorrow, i.e. Ashad 01.
The interest rates on savings have not changed for Rastriya Banijya Bank. The bank will give annual interest payments in the range of 3-5% on savings, which is also the interest rates range for Nepal Credit and Commerce Bank, with the most savings products generating interest payments in the upper limit of that range. Fixed deposits will yield 5.5-7.1% for individuals and 5-6.5% for institutions. Thus, this hasn't changed from last month either.
Individual fixed depositors will yield in the range of 7-8%, just like in the previous month. In contrast, institutions will yield 7.5-8%, compared to 6.-8% in the previous month.
Similarly, the normal savings account will only yield 2.5% at Standard Chartered Bank. This figure was even lower last month, i.e. at 2%. Individual fixed depositors will yield in the range of 4.5-7%, compared to last month's range of 4.5-6%. The base rate of the commercial bank as of Chaitra last year is 5.33%.
NMB Bank Limited will give interest payment in the range of 3.6-5.6% p.a in Ashad. This is an increment, given that the range was 2-4% in the previous month. Individuals will get interest payments in the range of 6.5-7.8 p.a. on fixed deposits, compared to Jestha's rate of 5-7%. By now, it is apparent that banks have started to raise their interest rates, an indicator that they are achieving a greater balance in liquidity scenario compared to the worst days of the pandemic.
Machhapuchchhre Bank Limited will now pay 3.1-4% on savings compared to Jestha's rate range of 2-4%. Most savings schemes will yield the lower limit of the range, i.e. 3.1%. Individual fixed depositors will yield 7.51%, compared to last month's range of 7%. The industry giant Nabil Bank itself has increased its interest rate profile. Savings schemes will now yield 2.51-4.51%. This range was 1.51-3.51% for Jestha.
This article performed data sampling on a randomly selected list of commercial banks. The individual interest rate updates can be found on the company profile of each commercial bank on our portal."
"Nepal Agro Laghubitta (NAGRO) Calls AGM to Endorse 14% Bonus Shares; Infinity Laghubitta (ILBS) Calls SGM to Endorse Swap Ratio","Mon, Jun 14, 2021 1:06 PM
                                                                on
                                                                Latest,
                                                                AGM/Special AGM,
                                                                Merger/Acquistion,","https://contents.sharesansar.com/photos/shares/company/1551266352-nepal_agro_laghubitta.jpg","Nepal Agro Laghubitta Bittiya Sanstha Limited (NAGRO) has called its 5th AGM on 21st Ashar, 2078. Infinity Laghubitta Bittiya Sanstha Limited (ILBS) has also called its SGM on the same date.
Nepal Agro Laghubitta has called its AGM in City Square Pvt. Ltd., Pokhara, starting at 9 am that day. The SGM of Infinity Laghubitta will be held in the company's central office in Nawalpur, starting at 9 am that day.
As proposed by the board of directors, the AGM of Nepal Agro Laghubitta will endorse 14% bonus shares on the paid-up capital of Rs. 5,72,44,470 for the fiscal year 2076/77. Cash dividend worth Rs. 4,21,801 will also be endorsed.
The AGM will endorse the 1: 0.98 Share Swap Ratio between NAGRO and ILBS. Nepal Agro Laghubitta Bittiya Sanstha Limited (NAGRO) will now be acquired by Infinity Laghubitta Bittiya Sanstha Limited (ILBS), which is also the primary agenda for the latter's SGM. Nepal Rastra Bank approved the acquisition proposal endorsed by both the companies' respective AGM on Jestha 11.
The paid-up capital after acquisition will be Rs. 32,59,08,646.
The trading of NAGRO was halted in NEPSE because the company had signed a Memorandum of Understanding (MoU) for merger and acquisition with NESDO Sambridha Laghubitta. However, Infinity Laghubitta Bittiya Sanstha Limited (ILBS) unveiled a notice stating that it has signed an acquisition agreement with Nepal Agro Laghubitta in which the former will acquire the latter.
The acquisition agreement was signed on Magh 26 by Mr. Balram Bista representing ILBS and Mr. Bibek Shrestha representing NAGRO. NAGRO is a microfinance company with its central office in Bindhyabasini, Pokhara - 18, Kaski. The company has an operational area of 10 districts.
The book closure date of the AGM and SGM is on Ashad 08. Thus, investors maintained before that day can attend the meetings of the respective companies.
AGM notice
SGM notice"
"Give a Big Hand for NEPSE: Index Surpasses 3,000 Level for First Time in History","Mon, Jun 14, 2021 11:38 AM
                                                                on
                                                                Stock Market,
                                                                Latest,",,"The NEPSE index has crossed the 3,000 level for the first time in capital market history. With this, amateur and experienced investors alike have witnessed yet another humongous feat in the bull market that has not shown signs of slowing down as of now.
NEPSE was trading at around 100 index levels before the start of the year 2000. In a short span of 20 years, the index has had a gain of over 1,250%. This is an extraordinary gain no matter which stock exchange or investment instrument one compares it against. As of writing, the index is at 3,038.09.
Note that the index had briefly surpassed the 3,000 level last week itself, but it was shortly after the market-open. Furthermore, the index had immediately lost in a steep decline. 
While writing this, CDS and Clearing Limited reports a total of 35,46,758 Demat account holders on its official website. These are investors who contribute to the nation's development by contributing the much-needed capital to businesses that need it. Daily turnover of over Rs. 15 Arba does not excite investors anymore. Over two dozen companies hit the 10% positive circuit breakers on a normal day in this bull market.

Sharesansa'rs Personal Message: Naturally, stock markets create highs and lows, that is not what this article is about. This article is about looking back and reminiscing the good things that have happened in our capital market, from queuing in long lines to apply for an IPO to a completely online system. Changes indeed have happened, from trading stocks on the floor with ticker screen updated manually to instantaneous TMS portal, and from a handful of scrips to 35,700,374 shares traded on a single day.
Sharesansar commends all veteran investors who have witnessed the highs and lows of the country's capital market. With the investors, the regulatory board, the exchange, stockbroker companies, and all concerned parties involved, Sharesansar has also evolved and adapted with time.
Like all phases, the bullish phase may not last forever, but it seems that the enthusiasm of investors certainly will. Sharesansar celebrates and congratulates all who volunteer to invest their wealth for the betterment of the overall economy while making peace with the associated risks of the investment world.
Sharesansar, updating your financial world."
"Tourism Minister stresses on making NAC a profit-oriented organization","Tue, Jun 15, 2021 5:44 AM
                                                                on
                                                                Latest,
                                                                Corporate,","https://contents.sharesansar.com/photos/Featured-Images/NAC.JPG","The newly appointed Minister for Culture, Tourism, and Civil Aviation, Uma Shankar Agariya has laid emphasis on the need of transforming Nepal Airlines Corporation into a profit-making organization by fully utilizing its aircraft. 
Minister Aragariya said that collective initiative was necessary to regain the Cooperation’s prestige of the past by utilizing human resources in an appropriate manner on the basis of capacity and efficiency.
At a welcome and discussion program organized by the Corporation on Monday, he shared that the NAC should move ahead with a concept of becoming a service-oriented organization not only the profit-oriented one.
He expressed commitment that the government would provide support for the same. Saying the NAC has fulfilled its responsibility competently even during the coronavirus pandemic, the Tourism Minister opined that it was necessary to make a plan immediately to move ahead with a strong action plan.
Similarly, Secretary of the Ministry, Yadav Koirala, stressed that the NAC should move ahead towards the progress by changing it into a new model, saying the NAC could not be promoted in the traditional way.
Likewise, NAC’s General Manager, Dim Prakash Poudel, said that the NAC management and staff have been involved to develop NAC into a regional airline company. 
He also urged the government to give a discount on revenue for ground handling service at the under-construction Bhairahawa and Pokhara regional airports for five years."
"Sunrise Bank Kailali branch provides medical support to Kailali Hospital and Area Police Office; aims to protect frontliners from COVID infection","Tue, Jun 15, 2021 5:25 AM
                                                                on
                                                                Latest,
                                                                Corporate,",,"Sunrise Bank, Kailali branch, has distributed medical support to Tikapur Hospital and Area Police Office under its CSR initiative.

The support items were handed over by branch operation in charge of the bank Mr. Samsher Kathayat to Dr. Yam Kumar Rai of the hospital and inspector Mr. Nirajan Sunar, as per the media statement.
The bank has handed over sanitizers, surgical masks and globes, face shields, and other protective gears to protect the frontliners in the hospital and police station, as per the media statement."
"Khalti provides API to its merchant for free; aims to promote digital economy by attracting more merchants to its digital payment ecosystem","Tue, Jun 15, 2021 5:19 AM
                                                                on
                                                                Latest,
                                                                Corporate,",,"Khalti Digital Wallet has extended its API to its merchants “SmartUddhyami” for free. The facility has been propelled to counterbalance the nation's deteriorating economy and aid the country to digitize payment services performed in small, medium, and large trades in Nepal.

Khalti provides multiple payment options for its customers. Forging ahead of its competitors, who are just limited to their gateways, Khalti extends its payment portfolio through its affiliated E-Banking, M-banking partners, Connect IPS connections, and SCT coverage. However, the spotlight is stolen by its decision to extend payment gateway for free to merchants willing to integrate Khalti as their Payment Gateway. The offer is set to kick in the month of Asar and is expected to last throughout the month. 
""We have brought this service with the vision of strengthening Merchant's economic condition. The process of integrating API is highly secure, simple, and fast. Therefore, we believe that the service will be the bedrock for many merchants. We are confident that our offer will help many merchants grow their businesses during these hard times. We anticipate extending many more offers that will help businesses cultivate at this trying time,"" shared Mr. Jonaam Bhurtel, Business Development Manager when asked to comment over.
Becoming a merchant is relatively convenient in Khalti as the digital wallet has opened services to any merchants willing to do so. It all starts from creating a merchant account by visiting its official website. Merchants are required to select ""More"" options followed by choosing ""Merchant signup"".  Upon completion, merchants can easily log in to their dashboard and update their business KYC and Banking options for future withdrawals. The required API documentation and Test keys are available on the Home screen of the Merchant Dashboard with a provision to receive Live keys on successful Test Transaction, minimizing merchants' dependency upon the service provider.  
Khalti Digital Wallet, established in 2017, is a famous Digital Wallet and Payment Gateway in Nepal. Currently, it has more than 1.7 million active users throughout the country. From Khalti, users can recharge their phone, TV, pay their internet bill, insurance premiums, buy domestic flight tickets, and many more. Khalti digital has aided in saving its users time and money by providing faster services and exciting cashback. It can be downloaded from the link shared Khalti.com/app.
Khalti Digital Wallet
For further information, please call, Purna Kumar Rana, at +977-9801301161, or mail at purna.rana@khalti.com"
